New York,New York,"8,622,698",780.9 km2,"10,933/km2",40.6635°N 73.9387°W
Los Angeles,California,"3,999,759","1,213.9 km2","3,276/km2",34.0194°N 118.4108°W
Chicago,Illinois,"2,716,450",588.7 km2,"4,600/km2",41.8376°N 87.6818°W
Houston,Texas,"2,312,717","1,651.1 km2","1,395/km2",29.7866°N 95.3909°W
Phoenix,Arizona,"1,626,078","1,340.6 km2","1,200/km2",33.5722°N 112.0901°W
Philadelphia,Pennsylvania,"1,580,863",347.6 km2,"4,511/km2",40.0094°N 75.1333°W
San Antonio,Texas,"1,511,946","1,194.0 km2","1,250/km2",29.4724°N 98.5251°W
San Diego,California,"1,419,516",842.3 km2,"1,670/km2",32.8153°N 117.1350°W
Dallas,Texas,"1,341,075",882.9 km2,"1,493/km2",32.7933°N 96.7665°W
San Jose,California,"1,035,317",459.7 km2,"2,231/km2",37.2967°N 121.8189°W
Austin,Texas,"950,715",809.9 km2,"1,170/km2",30.3039°N 97.7544°W
Jacksonville,Florida,"892,062","1,935.8 km2",455/km2,30.3369°N 81.6616°W
San Francisco,California,"884,363",121.5 km2,"7,170/km2",37.7272°N 123.0322°W
Columbus,Ohio,"879,170",565.9 km2,"1,520/km2",39.9852°N 82.9848°W
Fort Worth,Texas,"874,168",888.1 km2,962/km2,32.7815°N 97.3467°W
Indianapolis,Indiana,"863,002",936.3 km2,914/km2,39.7767°N 86.1459°W
Charlotte,North Carolina,"859,035",791.0 km2,"1,064/km2",35.2078°N 80.8310°W
Seattle,Washington,"724,745",217.0 km2,"3,245/km2",47.6205°N 122.3509°W
Denver,Colorado,"704,621",397.0 km2,"1,746/km2",39.7619°N 104.8811°W
Washington,District of Columbia,"693,972",158.2 km2,"4,304/km2",38.9041°N 77.0172°W
Boston,Massachusetts,"685,094",125.1 km2,"5,381/km2",42.3320°N 71.0202°W
El Paso,Texas,"683,577",665.1 km2,"1,030/km2",31.8484°N 106.4270°W
Detroit,Michigan,"673,104",359.5 km2,"1,871/km2",42.3830°N 83.1022°W
Nashville,Tennessee,"667,560","1,232.6 km2",536/km2,36.1718°N 86.7850°W
Memphis,Tennessee,"652,236",822.1 km2,794/km2,35.1028°N 89.9774°W
Portland,Oregon,"647,805",345.8 km2,"1,851/km2",45.5370°N 122.6500°W
Oklahoma City,Oklahoma,"643,648","1,570.3 km2",407/km2,35.4671°N 97.5137°W
